"timestamp_utc","sample","node","cpu_percent","memory_usage","network_io","block_io"
"2026-09-17T15:04:58.4639502+00:00","54","r-scylla1","6.41%","586.3MiB / 9.711GiB","181MB / 149MB","363MB / 896MB"
"2026-09-17T15:04:58.4639502+00:00","54","r-scylla2","4.84%","515.3MiB / 9.711GiB","182MB / 147MB","54.5MB / 895MB"
"2026-09-17T15:04:58.4639502+00:00","54","r-scylla3","5.41%","517.3MiB / 9.711GiB","182MB / 147MB","41.9MB / 894MB"
"2026-09-17T15:05:01.6454091+00:00","55","r-scylla1","8.39%","586.1MiB / 9.711GiB","181MB / 149MB","363MB / 896MB"
"2026-09-17T15:05:01.6454091+00:00","55","r-scylla2","5.63%","515.8MiB / 9.711GiB","182MB / 147MB","54.5MB / 895MB"
"2026-09-17T15:05:01.6454091+00:00","55","r-scylla3","8.19%","517.1MiB / 9.711GiB","182MB / 147MB","41.9MB / 894MB"
"2026-09-17T15:05:04.8511349+00:00","56","r-scylla1","5.33%","586.5MiB / 9.711GiB","181MB / 149MB","363MB / 896MB"
"2026-09-17T15:05:04.8511349+00:00","56","r-scylla2","7.16%","515.6MiB / 9.711GiB","182MB / 148MB","54.5MB / 895MB"
"2026-09-17T15:05:04.8511349+00:00","56","r-scylla3","6.69%","517.1MiB / 9.711GiB","182MB / 147MB","41.9MB / 894MB"
"2026-09-17T15:05:08.0522239+00:00","57","r-scylla1","5.69%","586MiB / 9.711GiB","182MB / 149MB","363MB / 896MB"
"2026-09-17T15:05:08.0522239+00:00","57","r-scylla2","5.99%","515.3MiB / 9.711GiB","182MB / 148MB","54.5MB / 895MB"
"2026-09-17T15:05:08.0522239+00:00","57","r-scylla3","6.50%","517.4MiB / 9.711GiB","182MB / 147MB","41.9MB / 894MB"
"2026-09-17T15:05:11.2434913+00:00","58","r-scylla1","7.38%","586.3MiB / 9.711GiB","182MB / 149MB","363MB / 896MB"
"2026-09-17T15:05:11.2434913+00:00","58","r-scylla2","8.01%","515.3MiB / 9.711GiB","183MB / 148MB","54.5MB / 895MB"
"2026-09-17T15:05:11.2434913+00:00","58","r-scylla3","4.43%","517.4MiB / 9.711GiB","182MB / 148MB","41.9MB / 894MB"
"2026-09-17T15:05:14.4403437+00:00","59","r-scylla1","6.20%","586.1MiB / 9.711GiB","182MB / 149MB","363MB / 896MB"
"2026-09-17T15:05:14.4403437+00:00","59","r-scylla2","6.04%","515.3MiB / 9.711GiB","183MB / 148MB","54.5MB / 895MB"
"2026-09-17T15:05:14.4403437+00:00","59","r-scylla3","6.34%","517.4MiB / 9.711GiB","182MB / 148MB","41.9MB / 894MB"
"2026-09-17T15:05:17.6665229+00:00","60","r-scylla1","5.92%","586.1MiB / 9.711GiB","182MB / 150MB","363MB / 896MB"
"2026-09-17T15:05:17.6665229+00:00","60","r-scylla2","5.89%","515.3MiB / 9.711GiB","183MB / 148MB","54.5MB / 895MB"
"2026-09-17T15:05:17.6665229+00:00","60","r-scylla3","6.24%","517.1MiB / 9.711GiB","182MB / 148MB","41.9MB / 894MB"
"2026-09-17T15:05:20.8446018+00:00","61","r-scylla1","4.98%","586.3MiB / 9.711GiB","182MB / 150MB","363MB / 896MB"
"2026-09-17T15:05:20.8446018+00:00","61","r-scylla2","5.93%","515.6MiB / 9.711GiB","183MB / 148MB","54.5MB / 895MB"
