sample,start_utc,end_utc,phase,event_relative_s,address,token_rows,up_normal_rows,owns_values,ownership_sha256,source_file
4971,2026-09-22T15:53:50.2616219+00:00,2026-09-22T15:53:50.6855887+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004971.txt
4971,2026-09-22T15:53:50.2616219+00:00,2026-09-22T15:53:50.6855887+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004971.txt
4972,2026-09-22T15:53:52.3410668+00:00,2026-09-22T15:53:52.8511428+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004972.txt
4972,2026-09-22T15:53:52.3410668+00:00,2026-09-22T15:53:52.8511428+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004972.txt
4972,2026-09-22T15:53:52.3410668+00:00,2026-09-22T15:53:52.8511428+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004972.txt
4973,2026-09-22T15:53:54.4164241+00:00,2026-09-22T15:53:54.9251985+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004973.txt
4973,2026-09-22T15:53:54.4164241+00:00,2026-09-22T15:53:54.9251985+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004973.txt
4973,2026-09-22T15:53:54.4164241+00:00,2026-09-22T15:53:54.9251985+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004973.txt
4974,2026-09-22T15:53:56.4734501+00:00,2026-09-22T15:53:56.9883607+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004974.txt
4974,2026-09-22T15:53:56.4734501+00:00,2026-09-22T15:53:56.9883607+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004974.txt
4974,2026-09-22T15:53:56.4734501+00:00,2026-09-22T15:53:56.9883607+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004974.txt
