treatment,phase,event,timestamp_utc,event_relative_s,sample,node,node_count,direction,shards,counter_bytes,increment_bytes,counter_reset
tablets,baseline,,2026-09-21T17:19:27.369871+00:00,,879,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:27.369871+00:00,,879,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:27.369871+00:00,,879,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:27.369871+00:00,,879,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:27.369871+00:00,,879,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:27.369871+00:00,,879,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:28.369969+00:00,,880,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:28.369969+00:00,,880,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:28.369969+00:00,,880,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:28.369969+00:00,,880,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:28.369969+00:00,,880,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:28.369969+00:00,,880,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:29.370208+00:00,,881,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:29.370208+00:00,,881,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:29.370208+00:00,,881,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:29.370208+00:00,,881,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:29.370208+00:00,,881,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:29.370208+00:00,,881,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:30.370533+00:00,,882,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:30.370533+00:00,,882,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:30.370533+00:00,,882,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:30.370533+00:00,,882,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:30.370533+00:00,,882,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:30.370533+00:00,,882,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:31.370776+00:00,,883,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:31.370776+00:00,,883,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:31.370776+00:00,,883,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:31.370776+00:00,,883,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:31.370776+00:00,,883,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:31.370776+00:00,,883,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:32.370999+00:00,,884,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:32.370999+00:00,,884,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:32.370999+00:00,,884,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:32.370999+00:00,,884,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:32.370999+00:00,,884,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:32.370999+00:00,,884,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:33.371207+00:00,,885,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:33.371207+00:00,,885,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:33.371207+00:00,,885,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:33.371207+00:00,,885,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:33.371207+00:00,,885,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:33.371207+00:00,,885,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:34.371343+00:00,,886,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:34.371343+00:00,,886,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:34.371343+00:00,,886,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:34.371343+00:00,,886,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:34.371343+00:00,,886,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:34.371343+00:00,,886,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:35.371604+00:00,,887,r-scylla1,3,incoming,2,0,0,False
