"timestamp_utc","sample_end_utc","sample","node","node_count","cpu_percent","memory_usage","network_io","block_io","vm_mem_available_kib"
"2026-09-21T11:51:37.8367721+00:00","2026-09-21T11:51:40.1757323+00:00","29","r-scylla4","4","61.40%","150.7MiB / 9.711GiB","14.7MB / 60.1MB","23MB / 769MB","8739540"
"2026-09-21T11:51:41.1838715+00:00","2026-09-21T11:51:43.4938366+00:00","30","r-scylla1","4","55.37%","161.4MiB / 9.711GiB","18.7MB / 66.6MB","51.2MB / 786MB","8724344"
"2026-09-21T11:51:41.1838715+00:00","2026-09-21T11:51:43.4938366+00:00","30","r-scylla2","4","49.45%","142.8MiB / 9.711GiB","21MB / 62.1MB","27.9MB / 793MB","8724344"
"2026-09-21T11:51:41.1838715+00:00","2026-09-21T11:51:43.4938366+00:00","30","r-scylla3","4","48.04%","143.2MiB / 9.711GiB","21.2MB / 60.1MB","25.7MB / 791MB","8724344"
"2026-09-21T11:51:41.1838715+00:00","2026-09-21T11:51:43.4938366+00:00","30","r-scylla4","4","46.40%","151.2MiB / 9.711GiB","15.6MB / 64MB","27MB / 782MB","8724344"
"2026-09-21T11:51:44.5043793+00:00","2026-09-21T11:51:46.8024135+00:00","31","r-scylla1","4","37.54%","164.8MiB / 9.711GiB","20.1MB / 70.9MB","57.6MB / 803MB","8723888"
"2026-09-21T11:51:44.5043793+00:00","2026-09-21T11:51:46.8024135+00:00","31","r-scylla2","4","32.86%","145.4MiB / 9.711GiB","22MB / 63.4MB","31.8MB / 805MB","8723888"
"2026-09-21T11:51:44.5043793+00:00","2026-09-21T11:51:46.8024135+00:00","31","r-scylla3","4","33.68%","145.5MiB / 9.711GiB","22.6MB / 62MB","30.5MB / 804MB","8723888"
"2026-09-21T11:51:44.5043793+00:00","2026-09-21T11:51:46.8024135+00:00","31","r-scylla4","4","1.16%","144.1MiB / 9.711GiB","16MB / 66MB","28.8MB / 788MB","8723888"
"2026-09-21T11:51:47.8161954+00:00","2026-09-21T11:51:50.1386837+00:00","32","r-scylla1","4","1.51%","164.1MiB / 9.711GiB","20.1MB / 73MB","64.7MB / 812MB","8725336"
"2026-09-21T11:51:47.8161954+00:00","2026-09-21T11:51:50.1386837+00:00","32","r-scylla2","4","1.66%","144.8MiB / 9.711GiB","22.1MB / 65MB","38.7MB / 814MB","8725336"
"2026-09-21T11:51:47.8161954+00:00","2026-09-21T11:51:50.1386837+00:00","32","r-scylla3","4","1.84%","145.1MiB / 9.711GiB","23.1MB / 63.6MB","37.9MB / 813MB","8725336"
"2026-09-21T11:51:47.8161954+00:00","2026-09-21T11:51:50.1386837+00:00","32","r-scylla4","4","1.73%","144.1MiB / 9.711GiB","16MB / 67.1MB","28.8MB / 788MB","8725336"
"2026-09-21T11:51:51.1439847+00:00","2026-09-21T11:51:53.4864049+00:00","33","r-scylla1","4","3.26%","164.6MiB / 9.711GiB","20.2MB / 73.8MB","64.7MB / 812MB","8729264"
"2026-09-21T11:51:51.1439847+00:00","2026-09-21T11:51:53.4864049+00:00","33","r-scylla2","4","2.52%","144.8MiB / 9.711GiB","22.2MB / 66.2MB","38.7MB / 814MB","8729264"
